Denumire,CUI,CAEN,Adresa,SF_AN,Active imobilizate,Active circulante,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri totale,Cheltuieli totale,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati
DOMINIXIANA IMPEX SRL,11211763,4711,"Municipiul Oradea, Str. LAPUSULUI, Nr. 11, Bloc PB26, Apartament 1, Județ Bihor",2018,2810,30001,21545,226,8230,,6946,,,25865,200,,189719,189720,176022,13698,0,11801,0,2
DOMINIXIANA IMPEX SRL,11211763,4711,"Municipiul Oradea, Str. LAPUSULUI, Nr. 11, Bloc PB26, Apartament 1, Județ Bihor",2019,2614,41564,28206,4558,8800,,4533,,,39645,200,,179302,180308,164735,15573,0,13780,0,2
DOMINIXIANA IMPEX SRL,11211763,4711,"Municipiul Oradea, Str. LAPUSULUI, Nr. 11, Bloc PB26, Apartament 1, Județ Bihor",2017,3006,22010,13322,3516,5172,,10952,,,14064,200,,189249,189249,193707,0,4458,0,6350,3
HORADIN CENTER SRL,38556373,4711,"Municipiul Oradea, Str. SFÂNTUL APOSTOL ANDREI, Nr. 58, Bloc C30, Apartament 8, Județ Bihor",2019,,29758,24163,2162,3433,,52991,,,-23233,200,,184092,184092,205684,0,21592,0,23433,2
ERMI START S.R.L.,38490473,4711,"Municipiul Oradea, Str. ZIMBRULUI, Nr. 4, Bloc PRIMA, Apartament 61, Județ Bihor",2018,,51064,47371,1680,2013,,78420,,,-27356,200,,508295,510595,533047,0,22452,0,27556,3
ERMI START S.R.L.,38490473,4711,"Municipiul Oradea, Str. ZIMBRULUI, Nr. 4, Bloc PRIMA, Apartament 61, Județ Bihor",2019,12937,6520,3922,4412,-1814,,74576,,,-55119,200,,211228,215950,241846,0,25896,0,27763,3
PUIUSOFT S.R.L.,39747355,4711,"Municipiul Oradea, Str. HENRIK IBSEN, Nr. 5, Bloc AN3, Apartament 1, Județ Bihor",2018,225,1004,,,1004,,7008,,,-5779,200,,350,350,6318,0,5968,0,5979,
PUIUSOFT S.R.L.,39747355,4711,"Municipiul Oradea, Str. HENRIK IBSEN, Nr. 5, Bloc AN3, Apartament 1, Județ Bihor",2019,141,1204,,,1204,,7014,,,-5669,200,,200,200,84,116,0,110,0,
DOBREŞTEANUL S.R.L.,38815389,4711,"Municipiul Oradea, Str. MORII, Nr. 19B, Bloc X27, Apartament 8, Județ Bihor",2019,104677,197819,143359,5543,48917,,74346,,,228150,200,,3133476,3154344,2925903,228441,0,196847,0,6
DOBREŞTEANUL S.R.L.,38815389,4711,"Municipiul Oradea, Str. MORII, Nr. 19B, Bloc X27, Apartament 8, Județ Bihor",2018,13450,202059,105130,3918,93011,,135966,,,79543,200,,1544392,1561331,1466510,94821,0,79343,0,3
DIN CAMARA LUI ION SRL,38238353,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 40, Apartament 14, Județ Bihor",2018,183,43471,15633,15810,12028,,43956,,,-302,200,,198314,198354,194576,3778,0,1794,0,1
DIN CAMARA LUI ION SRL,38238353,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 40, Apartament 14, Județ Bihor",2017,183,35565,8889,15868,10808,,37844,,,-2096,200,,43834,43842,45700,0,1858,0,2296,1
DIN CAMARA LUI ION SRL,38238353,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 40, Apartament 14, Județ Bihor",2019,3432,28805,8662,8180,11963,,16483,,,15754,200,,161136,161245,140352,20893,0,16056,0,
ASR MIX S.R.L.,38843354,4711,"Municipiul Oradea, P-ţa BUCUREŞTI, Nr. 2B, Bloc 2B, Scara B, Etaj 4, Apartament 37, Județ Bihor",2018,,,,,,,7219,,,-7219,200,,190556,190976,196670,0,5694,0,7419,1
ASR MIX S.R.L.,38843354,4711,"Municipiul Oradea, P-ţa BUCUREŞTI, Nr. 2B, Bloc 2B, Scara B, Etaj 4, Apartament 37, Județ Bihor",2019,,,,,,,7219,,,-7219,200,,,0,,0,0,0,0,0
CHARMIS EXIM SRL,5231804,4711,"Municipiul Oradea, Aleea FORAJULUI, Nr. 2, Bloc X 4, Etaj 1, Apartament 26, Județ Bihor",2016,0,679300,542128,129007,8165,,1106792,,,-427492,200,,186261,186261,186326,0,65,0,3790,1
CHARMIS EXIM SRL,5231804,4711,"Municipiul Oradea, Aleea FORAJULUI, Nr. 2, Bloc X 4, Etaj 1, Apartament 26, Județ Bihor",2018,,525702,394187,130858,657,,982499,,,-456797,200,,212652,212667,231812,0,19145,0,21272,1
CHARMIS EXIM SRL,5231804,4711,"Municipiul Oradea, Aleea FORAJULUI, Nr. 2, Bloc X 4, Etaj 1, Apartament 26, Județ Bihor",2017,,546931,415904,129710,1317,,982456,,,-435525,200,,209457,209457,215395,0,5938,0,8033,1
CHARMIS EXIM SRL,5231804,4711,"Municipiul Oradea, Aleea FORAJULUI, Nr. 2, Bloc X 4, Etaj 1, Apartament 26, Județ Bihor",2019,,78369,47924,28678,1767,,404647,,,-326278,200,,673051,673051,536550,136501,0,130520,0,
POPEYE IMPEX SRL,4738346,4711,"Municipiul Oradea, Aleea FORAJULUI, Nr. 2, Bloc X4B, Scara C, Etaj 2, Apartament 50, Județ Bihor",2017,79200,5229,3071,1870,288,,326431,,,-242002,845,,23090,23130,79540,0,56410,0,56721,1
POPEYE IMPEX SRL,4738346,4711,"Municipiul Oradea, Aleea FORAJULUI, Nr. 2, Bloc X4B, Scara C, Etaj 2, Apartament 50, Județ Bihor",2016,83974,5988,4170,1683,135,,275243,,,-185281,845,,23386,23386,57433,0,34047,0,34514,1
LAMBADA SRL,67892,4711,"Municipiul Oradea, Aleea ONISIFOR GHIBU, Nr. 8, Bloc QB 6, Apartament 19, Județ Bihor",2017,,3784,,,3784,,21042,,,-17258,210,,23501,23501,22703,798,0,48,0,
GLOBUS TERA COM SRL,27086772,4711,"Municipiul Oradea, Aleea PROF. ONISIFOR GHIBU, Nr. 6, Bloc X7, Scara B, Etaj 2, Apartament 30, Județ Bihor",2018,,2137,2085,2,50,,32437,,,-30300,250,,,0,200,0,200,0,200,
GLOBUS TERA COM SRL,27086772,4711,"Municipiul Oradea, Aleea PROF. ONISIFOR GHIBU, Nr. 6, Bloc X7, Scara B, Etaj 2, Apartament 30, Județ Bihor",2019,,2137,2085,2,50,,32487,,,-30350,250,,,0,50,0,50,0,50,
MASTER IMPORT EXPORT SRL,7748905,4711,"Municipiul Oradea, Aleea ROGERIUS, Nr. 6, parter, Bloc N5, Județ Bihor",2016,234562,301165,143093,41833,116239,535,792106,,,-255844,200,,4964920,4986419,4901846,84573,0,73860,0,20
MASTER IMPORT EXPORT SRL,7748905,4711,"Municipiul Oradea, Aleea ROGERIUS, Nr. 6, parter, Bloc N5, Județ Bihor",2018,248357,169799,99979,11969,57851,1158,615428,231,,-196345,200,,4461639,4479093,4398404,80689,0,63443,0,20
MASTER IMPORT EXPORT SRL,7748905,4711,"Municipiul Oradea, Aleea ROGERIUS, Nr. 6, parter, Bloc N5, Județ Bihor",2017,215451,222989,116742,15152,91095,366,698595,,,-259789,200,,4990223,5024136,5020395,3741,0,0,3945,19
MASTER IMPORT EXPORT SRL,7748905,4711,"Municipiul Oradea, Aleea ROGERIUS, Nr. 6, parter, Bloc N5, Județ Bihor",2019,242620,341755,144518,15185,182052,1063,638664,0,,-53226,45200,,5020906,5041847,4919998,121849,0,98119,0,17
MIRELIS IMPEX SRL,3249562,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 23, Bloc 4, Apartament 22, Județ Bihor",2019,,42952,42572,,380,,41823,,,1129,200,,47865,159865,63637,96228,0,94629,0,1
MIRELIS IMPEX SRL,3249562,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 23, Bloc 4, Apartament 22, Județ Bihor",2018,,32887,32630,,257,,126387,,,-93500,200,,53570,53570,82337,0,28767,0,29303,2
MIRELIS IMPEX SRL,3249562,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 23, Bloc 4, Apartament 22, Județ Bihor",2016,,26513,26334,,179,,67753,,,-41240,200,,33363,33489,44493,0,11004,0,11674,1
MIRELIS IMPEX SRL,3249562,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 23, Bloc 4, Apartament 22, Județ Bihor",2017,,30200,30172,,28,,94397,,,-64197,200,,40770,40795,63344,0,22549,0,22957,2
MARLO GENERAL TRADING SRL,2721135,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 31, Bloc AN 57, Apartament 8, Județ Bihor",2018,93986,168027,162040,1418,4569,397,264620,,,-2210,100200,,756637,757689,742027,15662,0,14923,0,2
MARLO GENERAL TRADING SRL,2721135,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 31, Bloc AN 57, Apartament 8, Județ Bihor",2019,62385,145964,137826,5743,2395,613,286589,,,-77627,100200,,916964,934706,1010123,0,75417,0,75417,3
MARLO GENERAL TRADING SRL,2721135,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 31, Bloc AN 57, Apartament 8, Județ Bihor",2017,,138755,132044,2040,4671,234,156122,,,-17133,100200,,629166,629388,613835,15553,0,15553,0,2
MARLO GENERAL TRADING SRL,2721135,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 31, Bloc AN 57, Apartament 8, Județ Bihor",2016,,125735,121641,608,3486,208,158629,,,-32686,100200,,590832,591389,561915,29474,0,29474,0,2
MIVALI EXIM SRL,6429649,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 32, Bloc C 56, Județ Bihor",2018,61404,55157,46416,4945,3796,72,18067,,,98566,200,,129155,129754,139117,0,9363,0,10601,1
MIVALI EXIM SRL,6429649,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 32, Bloc C 56, Județ Bihor",2017,61566,61482,46280,1815,13387,72,13952,,,109168,200,,124429,125033,118786,6247,0,4997,0,1
MIVALI EXIM SRL,6429649,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 32, Bloc C 56, Județ Bihor",2019,61243,49175,41811,2607,4757,72,28318,,,82172,200,,112463,112697,127964,0,15267,0,16395,1
MIVALI EXIM SRL,6429649,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 32, Bloc C 56, Județ Bihor",2016,54894,56438,38295,1857,16286,72,14068,,,97336,200,,133979,134321,124457,9864,0,7550,0,2
ELDORADO COM SRL,61237,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 47, Bloc A1, Apartament 1, Județ Bihor",2018,,643,56,100,487,,81426,,,-80783,200,,23688,23837,23305,532,0,0,183,1
ELDORADO COM SRL,61237,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 47, Bloc A1, Apartament 1, Județ Bihor",2019,,134,,,134,,78414,,,-78280,200,,,2803,217,2586,0,2502,0,0
ELDORADO COM SRL,61237,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 47, Bloc A1, Apartament 1, Județ Bihor",2016,,12943,10712,411,1820,,86494,,,-73551,200,,211309,212602,207551,5051,0,2925,0,2
ELDORADO COM SRL,61237,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 47, Bloc A1, Apartament 1, Județ Bihor",2017,,5155,4934,62,159,,85755,,,-80600,200,,204351,205182,210185,0,5003,0,7055,2
ANRODELA COM SRL,8060172,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 72, Bloc AN 41, Apartament 1, Județ Bihor",2018,,32104,25860,6132,112,4305,16347,,,20062,2000,,238910,251610,246895,4715,0,2214,0,1
ANRODELA COM SRL,8060172,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 72, Bloc AN 41, Apartament 1, Județ Bihor",2019,,35530,20975,14314,241,,15353,,,20177,2000,,273305,273349,270496,2853,0,115,0,1
ANRODELA COM SRL,8060172,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 72, Bloc AN 41, Apartament 1, Județ Bihor",2017,,30041,23673,6132,236,5473,17666,,,17848,2000,,219178,259390,247846,11544,0,9350,0,2
ANRODELA COM SRL,8060172,4711,"Municipiul Oradea, B-DUL DACIA, Nr. 72, Bloc AN 41, Apartament 1, Județ Bihor",2016,,19802,18235,1419,148,11759,23064,,,8497,2000,,215987,236031,228679,7352,0,5192,0,2
NATCOS PROD.COM SRL,3496678,4711,"Municipiul Oradea, B-DULDACIA, Nr. 25, Bloc U5, Etaj P, Județ Bihor",2018,,886,,287,599,,6746,,,-5860,200,,273696,289231,300443,0,11212,0,14137,2
NATCOS PROD.COM SRL,3496678,4711,"Municipiul Oradea, B-DULDACIA, Nr. 25, Bloc U5, Etaj P, Județ Bihor",2016,11604,71067,54910,9596,6561,35,67672,0,0,15034,200,0,1099098,1099098,1091059,8039,0,6131,0,5
NATCOS PROD.COM SRL,3496678,4711,"Municipiul Oradea, B-DULDACIA, Nr. 25, Bloc U5, Etaj P, Județ Bihor",2019,,22,,,22,,6346,,,-6324,200,,0,0,465,0,465,0,465,0
NATCOS PROD.COM SRL,3496678,4711,"Municipiul Oradea, B-DULDACIA, Nr. 25, Bloc U5, Etaj P, Județ Bihor",2017,7301,65394,49237,4113,12044,79,64497,,,8277,200,,1039852,1040852,1034247,6605,0,0,3072,5
ANADEM SRL,16994780,4711,"Municipiul Oradea, B-dul DACIA, Nr. 105/A, Scara B, Apartament 5, Județ Bihor",2016,8692,-1309,3500,1660,470,,124592,,,-117209,200,,2292,2320,2697,0,377,0,446,1
ALPAXIM IMPEX SRL,4348661,4711,"Municipiul Oradea, B-dul DACIA, Nr. 110, Bloc B 1, Scara C, Județ Bihor",2017,1836,42285,34281,400,7604,,54726,,,-10605,200,,29135,29135,39940,0,10805,0,10805,2
PUSTA BULZULUI SERV SRL,7295693,4711,"Municipiul Oradea, B-dul DACIA, Nr. 14, Bloc C62, Apartament 1, Județ Bihor",2017,,4847,4726,,121,,42073,,,-37226,200,,65666,65666,69983,0,4317,0,6058,1
PUSTA BULZULUI SERV SRL,7295693,4711,"Municipiul Oradea, B-dul DACIA, Nr. 14, Bloc C62, Apartament 1, Județ Bihor",2018,,7420,7070,126,224,107,44123,,,-36596,200,,44041,44041,42119,1922,0,630,0,
PUSTA BULZULUI SERV SRL,7295693,4711,"Municipiul Oradea, B-dul DACIA, Nr. 14, Bloc C62, Apartament 1, Județ Bihor",2019,,12162,11369,189,604,107,37489,,,-25220,200,,44637,55085,42057,13028,0,11375,0,
PUSTA BULZULUI SERV SRL,7295693,4711,"Municipiul Oradea, B-dul DACIA, Nr. 14, Bloc C62, Apartament 1, Județ Bihor",2016,,2452,2352,,100,,33620,,,-31168,200,,73767,98972,89445,9527,0,7548,0,1
MAGSAL SERVCOM SRL,2590404,4711,"Municipiul Oradea, B-dul DACIA, Nr. 27, Bloc AN 59, Etaj 6, Apartament 24, Județ Bihor",2018,71551,143622,121582,5596,16444,488,66722,,,148939,200,,1058666,1058668,1015039,43629,0,33052,0,3
MAGSAL SERVCOM SRL,2590404,4711,"Municipiul Oradea, B-dul DACIA, Nr. 27, Bloc AN 59, Etaj 6, Apartament 24, Județ Bihor",2019,69645,126223,119095,5549,1579,181,65914,,,130135,200,,1136888,1136907,1108401,28506,0,17138,0,3
MAGSAL SERVCOM SRL,2590404,4711,"Municipiul Oradea, B-dul DACIA, Nr. 27, Bloc AN 59, Etaj 6, Apartament 24, Județ Bihor",2017,73458,134075,117127,6500,10448,204,60275,,,147462,200,,1008769,1008773,953149,55624,0,45969,0,3
MAGSAL SERVCOM SRL,2590404,4711,"Municipiul Oradea, B-dul DACIA, Nr. 27, Bloc AN 59, Etaj 6, Apartament 24, Județ Bihor",2016,75656,109821,98499,997,10325,181,52587,,,133071,200,,990186,990221,934433,55788,0,46862,0,3
BAN COM SRL,61776,4711,"Municipiul Oradea, B-dul DACIA, Nr. 4, SPAŢIU COMERCIAL 3, Bloc A2, Județ Bihor",2016,151852,790951,453433,226342,111176,,503852,,,438951,4650,,3863033,3868785,3773267,95518,0,79321,0,11
ALIMENTARA 13 SRL,12198328,4711,"Municipiul Oradea, B-dul DACIA, Nr. 43, Bloc A3, Județ Bihor",2016,105247,227095,1120,171190,33465,,3846,,,328496,7400,,115792,118033,27760,90273,0,87912,0,1
VEROMIX SRL,11166409,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 53, Apartament 2, Județ Bihor",2018,1952,40459,40033,,426,10137,163310,,,-110762,200,,68637,68731,98514,0,29783,0,30459,1
VEROMIX SRL,11166409,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 53, Apartament 2, Județ Bihor",2017,2667,23955,22559,,1396,16220,123145,,,-80303,200,,93657,125794,120862,4932,0,3994,0,1
VEROMIX SRL,11166409,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 53, Apartament 2, Județ Bihor",2016,3447,17943,16952,,991,22302,127989,,,-84297,200,,86602,134608,128038,6570,0,5704,0,2
VEROMIX SRL,11166409,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 53, Apartament 2, Județ Bihor",2019,1953,81716,80834,,882,4055,182197,,,-94473,200,,87686,137686,120020,17666,0,16289,0,1
LIVELLA COM SRL,4640380,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 92, Județ Bihor",2018,181428,1297867,1027371,17209,253287,,804565,,,674730,200,,8879793,8889483,8668870,220613,0,166967,0,29
LIVELLA COM SRL,4640380,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 92, Județ Bihor",2016,211690,1090173,845419,18504,226250,,1043737,,,258126,200,,9013809,9015059,8722819,292240,0,240811,0,40
LIVELLA COM SRL,4640380,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 92, Județ Bihor",2017,284639,1365555,970043,15800,379712,,1142431,,,507763,200,,9687318,9687854,9103201,584653,0,490448,0,32
LIVELLA COM SRL,4640380,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 92, Județ Bihor",2019,201766,1272674,1064625,38350,169699,,882802,,,591638,200,,9384934,9385034,9121487,263547,0,219668,0,28
FEROPEK SERV SRL,5501614,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 94, Județ Bihor",2018,1330,22404,,,22404,759,4950,,,19543,200,,74991,74991,57355,17636,0,15387,0,1
FEROPEK SERV SRL,5501614,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 94, Județ Bihor",2017,2100,11773,,,11773,981,3565,,,11289,200,,50390,50390,41745,8645,0,7133,0,1
FEROPEK SERV SRL,5501614,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 94, Județ Bihor",2019,490,45532,,1307,44225,,5865,,,40157,200,,84298,84298,47155,37143,0,34614,0,1
FEROPEK SERV SRL,5501614,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 94, Județ Bihor",2016,,8344,,,8344,1554,2988,,,6910,200,,40730,40730,36752,3978,0,2754,0,1
ORFEUS IMPEX SRL,3249694,4711,"Municipiul Oradea, Calea CLUJULUI, Nr. 81, Județ Bihor",2018,,39071,,1305,37766,,54165,,,-15094,200,,87222,87222,56930,30292,0,28579,0,1
ORFEUS IMPEX SRL,3249694,4711,"Municipiul Oradea, Calea CLUJULUI, Nr. 81, Județ Bihor",2017,,26429,,2166,24263,,70101,,,-43672,200,,133297,135271,120953,14318,0,13095,0,1
ORFEUS IMPEX SRL,3249694,4711,"Municipiul Oradea, Calea CLUJULUI, Nr. 81, Județ Bihor",2019,,41570,,-2234,43804,,17584,,,23986,200,,99186,99186,32232,66954,0,63980,0,1
ORFEUS IMPEX SRL,3249694,4711,"Municipiul Oradea, Calea CLUJULUI, Nr. 81, Județ Bihor",2016,,106036,59829,691,45516,,162803,,,-56767,200,,1202039,1223070,1133062,90008,0,90008,0,5
ULTIMAT COMIMPEX SRL,4411157,4711,"Municipiul Oradea, P-ţa ION CREANGĂ, Nr. 5, Județ Bihor",2017,111708,75354,66436,7194,1724,,596151,,,-409089,200,,159345,209462,202364,7098,0,5505,0,2
ULTIMAT COMIMPEX SRL,4411157,4711,"Municipiul Oradea, P-ţa ION CREANGĂ, Nr. 5, Județ Bihor",2018,97342,74944,70073,216,4655,,566434,,,-394148,200,,159314,221819,205238,16581,0,14942,0,1
ULTIMAT COMIMPEX SRL,4411157,4711,"Municipiul Oradea, P-ţa ION CREANGĂ, Nr. 5, Județ Bihor",2016,93225,74651,62061,11504,1086,,582470,,,-414594,200,,167883,211182,268171,0,56989,0,58668,2
ULTIMAT COMIMPEX SRL,4411157,4711,"Municipiul Oradea, P-ţa ION CREANGĂ, Nr. 5, Județ Bihor",2019,87135,103088,68830,7150,27108,,604318,,,-414095,200,,39371,51345,70196,0,18851,0,19948,1
VIVALION COM SRL,8160643,4711,"Municipiul Oradea, STR. CALIMANESTI, Nr. 5, Județ Bihor",2018,,,,,,,38620,,,-38620,2390,,,0,,0,0,0,0,
VIVALION COM SRL,8160643,4711,"Municipiul Oradea, STR. CALIMANESTI, Nr. 5, Județ Bihor",2016,,,,,,,38620,,,-38620,2390,,,0,,0,0,0,0,
VIVALION COM SRL,8160643,4711,"Municipiul Oradea, STR. CALIMANESTI, Nr. 5, Județ Bihor",2017,,,,,,,38620,,,-38620,2390,,,0,,0,0,0,0,
VIVALION COM SRL,8160643,4711,"Municipiul Oradea, STR. CALIMANESTI, Nr. 5, Județ Bihor",2019,,,,,,,38620,,,-38620,2390,,,0,,0,0,0,0,
COMPANIA ORIZONT JUNIOR SRL,5590042,4711,"Municipiul Oradea, STR. CLUJULUI, Nr. 212, Județ Bihor",2018,635,35841,12801,13496,9544,54394,244270,,,-153400,3882,,373730,374466,416355,0,41889,0,45637,3
COMPANIA ORIZONT JUNIOR SRL,5590042,4711,"Municipiul Oradea, STR. CLUJULUI, Nr. 212, Județ Bihor",2017,330,109931,80146,28636,1149,54394,272418,,,-107763,3882,,555373,555394,527548,27846,0,19883,0,
COMPANIA ORIZONT JUNIOR SRL,5590042,4711,"Municipiul Oradea, STR. CLUJULUI, Nr. 212, Județ Bihor",2019,674,58873,25339,27653,5881,63426,250028,,,-127055,3882,,410899,410899,380422,30477,0,26345,0,3
COMPANIA ORIZONT JUNIOR SRL,5590042,4711,"Municipiul Oradea, STR. CLUJULUI, Nr. 212, Județ Bihor",2016,0,124877,89900,30347,4630,54394,306917,,,-127646,3882,,740194,740194,736795,3399,0,1838,0,5
IONUTIRIS PRODEXIM SRL,6617910,4711,"Municipiul Oradea, STR. H. COANDA, Nr. 7, Bloc PB27, Apartament 3, Județ Bihor",2018,101181,147130,79219,65391,2520,,112557,,,135754,200,,1492347,1497754,1424044,73710,0,58732,0,4
IONUTIRIS PRODEXIM SRL,6617910,4711,"Municipiul Oradea, STR. H. COANDA, Nr. 7, Bloc PB27, Apartament 3, Județ Bihor",2019,108468,93635,90118,1819,1698,,180438,,,21665,200,,1498730,1498730,1452069,46661,0,31674,0,4
IONUTIRIS PRODEXIM SRL,6617910,4711,"Municipiul Oradea, STR. H. COANDA, Nr. 7, Bloc PB27, Apartament 3, Județ Bihor",2017,101181,53107,51253,,1854,,77266,,,77022,200,,1261313,1261313,1062817,198496,0,186870,0,4
IONUTIRIS PRODEXIM SRL,6617910,4711,"Municipiul Oradea, STR. H. COANDA, Nr. 7, Bloc PB27, Apartament 3, Județ Bihor",2016,101181,77327,75861,,1466,,288356,,,-109848,200,,1133565,1133565,1125870,7695,0,7695,0,5
LATOIA COM SRL,4453594,4711,"Municipiul Oradea, Spl. CRIŞANEI, Nr. 8, Județ Bihor",2016,2266,281280,270685,5937,4658,,413217,,,-129671,210,,306468,306468,329103,0,22635,0,28249,2
NAPUS COM SRL,6733361,4711,"Municipiul Oradea, Str. CUZA VODA, Nr. 30, Apartament 2, Județ Bihor",2017,5076,64554,45967,9676,8911,,275777,,,-206147,17100,,365489,369318,347836,21482,0,17789,0,1
NAPUS COM SRL,6733361,4711,"Municipiul Oradea, Str. CUZA VODA, Nr. 30, Apartament 2, Județ Bihor",2016,5951,42874,34596,7392,886,,272761,,,-223936,17100,,327763,332759,337508,0,4749,0,8076,3
PAMARDO IMPEX SRL,6867029,4711,"Municipiul Oradea, Str. EPISCOP NICOLAE POPOVICI, Nr. 4, Bloc PC 117, Apartament 9, Județ Bihor",2018,683,81641,80259,197,1185,,60960,,,21364,200,,497706,497706,479497,18209,0,13232,0,3
PAMARDO IMPEX SRL,6867029,4711,"Municipiul Oradea, Str. EPISCOP NICOLAE POPOVICI, Nr. 4, Bloc PC 117, Apartament 9, Județ Bihor",2019,433,87194,86667,197,330,,70463,,,17164,200,,467846,467846,467368,478,0,0,4200,3
CRASNA COM SRL,9669247,4711,"Municipiul Oradea, STR. ITALIANA, Nr. 33, Bloc Z6, Apartament 1, Județ Bihor",2019,,3168,3065,,103,,95086,,,-91918,200,,39259,39259,53077,0,13818,0,14211,1
BOUTIQUE PAMELA SRL,7602259,4711,"Municipiul Oradea, STR. IZVORULUI, Nr. 4/I, Județ Bihor",2018,4798,2482,1747,616,119,,144709,,,-137429,1400,,29451,29451,43216,0,13765,0,14648,1
BOUTIQUE PAMELA SRL,7602259,4711,"Municipiul Oradea, STR. IZVORULUI, Nr. 4/I, Județ Bihor",2016,4798,2140,943,1019,178,,117064,,,-110126,1400,,18450,18450,27451,0,9001,0,9555,
BOUTIQUE PAMELA SRL,7602259,4711,"Municipiul Oradea, STR. IZVORULUI, Nr. 4/I, Județ Bihor",2017,4798,5700,4077,1339,284,,132792,,,-122294,1400,,17232,17232,28883,0,11651,0,12168,
BOUTIQUE PAMELA SRL,7602259,4711,"Municipiul Oradea, STR. IZVORULUI, Nr. 4/I, Județ Bihor",2019,4798,2981,2108,78,795,,157512,,,-149733,1400,,29097,29097,41015,0,11918,0,12791,1
ASSARI IMPEX SRL,3248745,4711,"Municipiul Oradea, STR. JOHAN STRAUSS, Nr. 2, Județ Bihor",2018,1891,6631,6631,,,,177715,,,-169193,687,,,0,,0,0,0,0,
ASSARI IMPEX SRL,3248745,4711,"Municipiul Oradea, STR. JOHAN STRAUSS, Nr. 2, Județ Bihor",2017,1891,6631,6631,,,,177715,,,-169193,687,,,0,485,0,485,0,485,0
ASSARI IMPEX SRL,3248745,4711,"Municipiul Oradea, STR. JOHAN STRAUSS, Nr. 2, Județ Bihor",2019,1891,6631,6631,,,,177715,,,-169193,687,,,0,,0,0,0,0,
ASSARI IMPEX SRL,3248745,4711,"Municipiul Oradea, STR. JOHAN STRAUSS, Nr. 2, Județ Bihor",2016,2376,6785,6631,154,,14403,192272,,,-168708,687,,0,0,1225,0,1225,0,1225,0
NATAL PREST SRL,5003091,4711,"Municipiul Oradea, STR. LEONARDO DA VINCI, Nr. 15, Bloc PB 95, Apartament 5, Județ Bihor",2018,,14113,4753,2380,6980,,32217,,,-18104,500,,21230,21230,16542,4688,0,4051,0,1
NATAL PREST SRL,5003091,4711,"Municipiul Oradea, STR. LEONARDO DA VINCI, Nr. 15, Bloc PB 95, Apartament 5, Județ Bihor",2017,,8718,5343,3052,323,,30874,,,-22156,500,,23132,23132,19136,3996,0,3302,0,
NATAL PREST SRL,5003091,4711,"Municipiul Oradea, STR. LEONARDO DA VINCI, Nr. 15, Bloc PB 95, Apartament 5, Județ Bihor",2016,,9779,7650,1953,176,,35236,,,-25457,500,,13976,13976,15473,0,1497,0,1916,1
NATAL PREST SRL,5003091,4711,"Municipiul Oradea, STR. LEONARDO DA VINCI, Nr. 15, Bloc PB 95, Apartament 5, Județ Bihor",2019,,8101,4753,3168,180,,14729,,,-6628,500,,20066,20066,7988,12078,0,11476,0,1
ROBIMEL COM SRL,7748808,4711,"Municipiul Oradea, STR. LEONARDO DA VINCI, Nr. 5, Bloc PB 15, Apartament 3, Județ Bihor",2016,15322,55251,53001,1366,884,196,184048,,,-113279,200,,287467,287467,281446,6021,0,3145,0,3
