Denumire,CUI,CAEN,Adresa,SF_AN,Active imobilizate,Active circulante,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri totale,Cheltuieli totale,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati
LADINFLOR IMPEX SRL,3826296,4711,"Municipiul Oradea, B-DUL STEFAN CEL MARE, Nr. 63, Bloc D57, Apartament 12, Județ Bihor",2019,,8,,3,5,,176,,,-168,200,,,0,,0,0,0,0,
ADISEB SRL,21195266,4711,"Municipiul Oradea, B-dul DACIA, Nr. 21, Bloc C 5, Etaj 7, Apartament 21, Județ Bihor",2018,,46729,46729,,,,58584,,,-11855,200,,,0,,0,0,0,0,
ADISEB SRL,21195266,4711,"Municipiul Oradea, B-dul DACIA, Nr. 21, Bloc C 5, Etaj 7, Apartament 21, Județ Bihor",2016,,46729,46729,,,,58584,,,-11855,,,,0,,0,0,0,0,
ADISEB SRL,21195266,4711,"Municipiul Oradea, B-dul DACIA, Nr. 21, Bloc C 5, Etaj 7, Apartament 21, Județ Bihor",2019,,46929,46729,,200,,58884,,,-11955,200,,,0,100,0,100,0,100,0
ADISEB SRL,21195266,4711,"Municipiul Oradea, B-dul DACIA, Nr. 21, Bloc C 5, Etaj 7, Apartament 21, Județ Bihor",2017,,46729,46729,,,,58584,,,-11855,,,,0,,0,0,0,0,
ILI PREST SRL,6649784,4711,"Municipiul Oradea, Str. SELEUSULUI, Nr. 40, Județ Bihor",2018,127,3418,3240,178,,,78656,,,-75111,11780,,,0,,0,0,0,0,
ILI PREST SRL,6649784,4711,"Municipiul Oradea, Str. SELEUSULUI, Nr. 40, Județ Bihor",2016,127,3418,3240,178,,,78656,,,-75111,11780,,,0,,0,0,0,0,
ILI PREST SRL,6649784,4711,"Municipiul Oradea, Str. SELEUSULUI, Nr. 40, Județ Bihor",2017,127,3418,3240,178,,,78656,,,-75111,11780,,,0,,0,0,0,0,
ILI PREST SRL,6649784,4711,"Municipiul Oradea, Str. SELEUSULUI, Nr. 40, Județ Bihor",2019,127,3418,3240,178,,,78656,,,-75111,11780,,,0,,0,0,0,0,
RIDENDO COM SRL,7886495,4711,"Municipiul Oradea, Str. SLATINEI, Nr. 9, Bloc PB 22, Apartament 12, Județ Bihor",2016,,2204,2119,50,35,64,13420,,,-11152,200,,,0,,0,0,0,0,
